"card_name","quantity_needed","best_price","website","quantity_available"
"Esper Sentinel",1,100.3,"CryptMTG",2
"Final Showdown",1,5.7,"CryptMTG",1
"Forensic Gadgeteer",1,3.4,"CryptMTG",3
"Magistrate's Scepter",1,6.9,"CryptMTG",7
"Mendicant Core, Guidelight",1,1.9,"CryptMTG",2
"Uthros, Titanic Godcore",1,28.9,"CryptMTG",1
"Boompile",1,0.8,"MagiCarte",2
"Chromatic Lantern",1,3.4,"MagiCarte",3
"Dawnsire, Sunstar Dreadnought",1,9.1,"MagiCarte",3
"Pinnacle Emissary",1,3.1,"MagiCarte",6
"The Seriema",1,1.4,"MagiCarte",11
